FIPS,% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Low birthweight,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% Excessive Drinking,# Alcohol-Impaired Driving Deaths,Teen Birth Rate,% Uninsured,% With Annual Mammogram,% Vaccinated,% Children in Poverty,80th Percentile Income,20th Percentile Income,% Children in Single-Parent Households,Violent Crime Rate,Average Daily PM2.5,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone
53005,17.33608489,4.3299146852,4.1375317097,6.5884674414,13.999093238,34.6,8.2,16.4,17.739356383,24,23.140756066,8.9353209227,43,52,16,129480,30353,22.233375632,194.58263075,9.3,14.772969516,81.558191066,21.5
53007,18.052478425,3.9542888898,4.2202745129,6.1221252974,14.38026831,32.8,8.2,20.1,19.865851767,9,23.492415834,11.180732328,39,34,16.4,111884,26439,21.025754885,148.20401871,5.1,15.373379587,76.448747608,17.8
53009,17.045701803,4.4218271122,4.485072538,5.9902740937,16.78137292,30.6,7.1,20.5,19.120206231,11,23.196963307,9.6812414004,36,50,16.7,99471,22544,23.896405102,279.59373873,4.6,16.914498141,76.540434202,24.1
53011,15.758525696,3.9766013987,4.1901298633,6.2511301113,14.431049469,32.2,8.4,16,18.530201517,46,15.532445765,7.0014657329,46,45,12.1,135940,35957,16.816372048,220.19523542,6.6,15.451808127,78.51725871,36.1
53013,16.913541782,4.2694412335,4.2279721051,10.12145749,16.436962087,31.8,7.1,22.5,20.112710285,3,15.892420538,7.0515036295,25,20,16.8,112800,17972,6.2820512821,37.693177535,6.5,12.5,65.432098765,31.9
53015,19.515590953,4.8619483495,4.8111206986,6.0419807492,17.934817555,37.7,7.1,21.7,17.760236908,17,25.909050299,7.9457030217,46,47,17.5,104188,23697,24.211905347,259.38136333,5.9,16.621588394,81.969842798,30.7
53017,20.182245148,4.483415456,4.3540960834,5.7261410788,16.169074235,31.2,6.9,18.4,20.797572712,3,23.289817232,11.404138089,39,39,15,115039,30654,27.394513807,98.783725381,6.5,17.001020061,82.724513293,17.1
53019,22.245248602,5.2030072435,5.1796501582,6.9529652352,21.709956195,30.8,4.7,18.5,19.526466169,4,32.012195122,10.893086374,22,16,25.6,100288,17432,23.572593801,112.26494527,5.7,17.348608838,60.524225576,41
53021,23.698626468,4.5607387238,4.1889612365,5.8807709547,14.64204839,30.9,8,16.5,16.543199211,10,34.338071588,12.102348767,41,48,18,113131,30465,21.614177148,210.79024152,9.4,20.534159087,78.778430871,17.1
53023,15.610119509,3.970346546,4.1459401126,6.8571428571,15.44525518,33.7,4.8,27.6,21.347802708,1,nan,4.6987951807,38,29,17.2,91533,25703,14.76635514,89.245872378,6.7,11.44278607,74.099883856,34
